sentence	label	gender
人家就是有的一百万，六百万，人家也伐会的进去呃，但是现在交关拧已经受过伤了	0	female
侪坏特过了，侬讲像现在提出搿种一百万基金咯撒，人家哪能会的进去呢	0	female
老早吾记得辣辣一四年辰光，吾做一只基金，伊也要一百万，但是呢，伊要交关拧凑起来	0	female
大家侬凑十万，吾凑十万，并呃一百万，有公司高那去做基金呃，但是现在是要一个人一百万	0	female
吾心里相一只辣想[+]	0	female
搿一百万，就是现在老百姓已经坏特交关了，也伐可能去拿出一百万来，必定有几个拧	0	female
有几家人家有的一百万，又伐是做生意拧	0	female
如果现在老板做生意呃吾相信也伐会的投一百万	0	female
伊是撒，三加五，所以吾，所谓三加五就是三年加两年，相当于要五年	0	female
搿五年钞票扔进去等于是基本哴是伐好动呃	0	female
葛末侬作为一个老板，肯定要资金要周转呃	0	female
伊有的一百万，身边最起码要有的四百万伐	0	female
侬还其他周，资金周转，搿一百万等于相当于是伐会的去用伊呃，辣辣五年里相	0	female
所以吾发觉伊拉提出搿呃现在弄出来搿物事肯定是没拧去投呃，王老师侬讲对伐	0	female
侬刚刚讲到，是有道理呃	0	male
吾最近参参加了几只会议	0	male
因为吾账面高头有的一百一百三十万	0	male
搿呃一百三十万呢，是一共是有吾呃	0	male
一部分大部分是阿拉弟弟呃，因为，自买材料，资资金周转	0	male
就是讲理财呃拧呢要一百万以上	0	male
搿为撒的提出搿一百万埃呃讲埃呃埃呃线呢，是就是讲，国家已经晓得	0	male
老点子，十十万廿万投呢，是一种，农，是一种市民呃投	0	male
一百万以上呢，伊最起码伊要有三百万四百万呃点子	0	male
就是合，合，合格呃，上海讲叫合格呃搿呃投资者	0	male
乃末现在出现撒问题，撒拧投撒拧投	0	male
吾参加了好几只理财，现在没拧投	0	male
人家讲了，侬搿只生活阿拉吃伐准呃	0	male
伐晓得撒地方呃	0	male
所以讲辣搿问题高头呢，侬讲了对呃	0	male
一定要小心	0	male
呃，王老师，侬刚刚讲呃问题对呃，吾现在呢，也经常性辣辣外头跑公司呃	0	female
现在跑个公司呢，基本上呢，要有的腔调呃，要有的嘛，钞票嘛最起码有的一百万呃	0	female
最最起码做基金要一百万资金，葛末阿拉呢，心里相也辣想，阿拉也坏特过，毕竟也工薪家庭	0	female
吾存一百万也是伐容易呃，牙齿缝里省下来呃对伐	0	female
但是老早也坏特过呃，更加要警惕性，但是呢，阿拉已经习惯性了	0	female
喜，欢喜呢到外头去跑跑了解了解，至少吾要晓得搿信息伐	0	female
要跟的上搿社会呃	0	female
葛末就去听听	0	female
现听听下来呢，侪要一百万打底呃，葛末吾去想，吾身边就是有的一百万，吾是有伐，是有呃	0	female
但是有的一百万吾伐可能再进去了	0	female
侬搿一叫摆五年唻，三加两，搿五年撒形式啊，再讲目前，搿只疫情	0	female
造成功了交关	0	female
各方面呃生产啊，各方面呃经济啊，侪比较低潮呃，所以辣搿种情况下头更伐可能进去呃	0	female
小心还是最好呃	0	female
王老师侬讲对伐	0	male
吾非常同意侬搿呃观点	0	male
理财方面呢	0	male
实际上阿拉些年纪大呃呢，吃了交关亏	0	male
诶，无论，无论是	0	male
嗯，撒呃，搿叫呃，买搿呃是，基金也好	0	male
买搿呃就是讲，理财产品也好	0	male
一定要小心	0	male
撒呃私募基金咯	0	male
公募基金咯	0	male
一百万咯吾告诉侬伐是阿拉做呃	0	male
就是有一千万摆辣，也伐会做	0	male
讲里相闲话，做伐长	0	male
当然，金融方面，现在	0	male
搿呃叫撒拧呢，诶	0	male
有辰光叫吾去听听	0	male
对伐叫吾听听，了解了解，葛末阿拉也报名也去参加了	0	male
看下来，看上去呢	0	male
复杂了很	0	male
老复杂，里相物事侬有辰光吃伐准伊	0	male
所以讲，喜洋洋从来伊讲吾叫那去听听伐是叫那投哦	0	male
投是那事体哦，伊讲哦	0	male
打交道到现在已经三四年了对伐，基本上晓得是得搿只金融里相呃路子	0	male
但是有辰光呢	0	male
有两个朋友一道去呢	0	male
真呃忍伐牢	0	male
王老师侬讲到搿问题对伐，吾倒，深有感触哦	0	male
但是吾现在去呢，是呃人家经常是拥护搿能噶进去，吾想一百万现在是绝对伐可能呃	0	female
有几个老板，就是有老板做生意呃，有一百万，伊也伐可能摆进去	0	female
伊老板做生意目的，就资金要周转了快要有的造血功能呃侬五年摆辣海	0	female
伊讲是讲去投资资金，伊究竟是伐是去投资资金伐，侬也伐看到呃	0	female
所以讲，拧侪有的警警觉性了，所以像伊搿能样子推出搿种项目咯撒基本哴是	0	female
搿社会高头现在基本哴是要淘汰呃	0	male
讲到底做做搿种物事现在等于吾分析过来，也是孛相心理学	0	female
等于，伊辣辣想侬心里相辣做撒就想撒物事，侬也辣辣想伊心里相做撒物事	0	female
失败呃教训了实际哴失败并伐	0	female
伐，伐会的老吓拧呃，只要侬自家下趟的掌握了侬下趟的就会的更加懂的了更加进步了	0	female
就像阿拉现在跑出去，就就更加懂得了，更加进步了，就伐会的轻易呃，伊讲了多少好多少好就会的相信了	0	female
回来要问几个为什么呃	0	male
甚至也会的高伊拉有辰光讲讲，哦，好呃好呃，阿拉可以考虑一下呃	0	female
到辰光再高侬来	0	male
投资伐，实际哴大家侪辣辣互相呃等于是心里相侪老明白呃等于打太极拳伐	0	female
王老师侬讲对伐	0	female
侬讲了对呃吾曾经碰着几个朋友	0	male
一道去，到搿呃公司去	0	male
吾朋友老冲动呃	0	male
老王可以呃，伊讲	0	male
想投资只饭店	0	male
投资只饭店	0	male
搿饭店是浙江伐晓撒地方呃伊讲，吾有饭店	0	male
搿呃种店啊	0	male
葛末吾问伊唻	0	male
侬饭店开了几年啊	0	male
伊讲开了三四年	0	male
吾讲财务报伐拨吾看看	0	male
因为吾做过财务嘛吾讲侬如果讲，侬开了三四年	0	male
侬财务报表拨吾看看吾首先看侬成本多少	0	male
每个号头利润多少	0	male
每个号头营业额多少	0	male
侬成本多少，吾就算出侬税收多少，就算出侬，侬有伐有	0	male
资资金类	0	male
就是讲，像搿种投资呃拧就是讲付的出利息伐	0	male
伊伐想了呀	0	male
伐想了后手来，搿会议结束以后出来，出来朋友讲，伊讲老王侬哪能问到搿呃问题啦，伊讲	0	male
阿拉没想着，撒呃，叫伊财务报表拿出来看，吾讲肯定呃呀	0	male
伊讲伊做了老好呃，叫阿拉一定投五十万	0	male
葛末侬做了老好，侬搿单位，侬搿饭店开了三四年了，侬财务报表好拨吾看伐	0	male
既然吾是投资者，侬肯定吾有权利呃，了解侬呃经营状况	0	male
搿是肯定呃咯	0	male
对伐，否则，吾伐晓得侬投进去以后侬拿吾钞票弄到别呃地方去了呢	0	male
搿是第一呃事体，吾高阿拉朋友讲第二呃吾投进去钞票	0	male
拿撒物事来偿还	0	male
撒物事还拨吾	0	male
侬讲除特侬，每天有的	0	male
饭店里收呃钞票	0	male
一呃侬伐拨吾看搿呃财务报表，第二呃侬抵押资产有伐	0	male
伊讲吾有呃吾有一幢房子啊	0	male
对伐伊讲伊讲伊讲伊讲吾可以抵押	0	male
吾，搿幢房子到底撒拧啊	0	male
当时，如果侬没钞票闲话，拿搿房子抵押拨阿拉以后，可以	0	male
就是讲房屋交易里相可以处置伐	0	male
可以变为钞票伐变现伐	0	male
哦，侬也伐讲了，回答出来嘛	0	male
所以讲，阿拉要回去，考虑考虑，研究研究	0	male
像侬讲侬搿种情况	0	male
阿拉辣辣场面高头老多呃	0	male
到关键问了一句闲话以后，伊问伐出以后，侬就伐去多啰嗦了	0	male
伊硬紧盯牢侬要要要撒呃，侬付个定金啊，侬嘛投了，侬只要问个一两句	0	male
伊拿的出呃	0	male
侬要看，拿伐出呃	0	male
但是阿拉，就是侬拿得出，阿拉也伐会跟侬去投呃，为撒道理呢	0	male
前头呃教训忒深了	0	male
喏，辣辣搿呃	0	male
理财方面搿呃金融方面呢	0	male
尤其是搿几年中来看，侬比吾做了，做了早，一二年开始一四年开始做了	0	male
吾还是就辣辣就一五呃样子，因为一五搿辰光吾最早辰光，阿拉搿股票是达到四千九百多点	0	male
吾是五只股辣辣六月份	0	male
六月十三号，六月十七号，一记头掼特了	0	male
掼特以后，吾一记头赚了将近五十万	0	male
吾伐扔特，吾朋友是伊是账面高头五百万	0	male
伊讲侬戆大，侬掼特做撒掼特呃全部侪涨上去，诶，一个礼拜以后	0	male
跌到现在诶，就是呢，跌到现在，撒道理伊从五百万，跌到现在只有一百多万了	0	male
对呃，王老师侬搿问题讲了老对呃	0	male
辣辣是，一二年辰光伐是，一般性人家是，伐是做股票呃，侪进去孛相嘛	0	female
就做搿种搿种，但是做股票拧是伊是搿能噶想，吾也曾经一道听到过呃	0	female
伊股票好，就做股票，但是股票伐好了，伊快点拨股票里相呃钞票退出来，就到搿种理财公司里去做伊拉是搿种噶理财	0	male
吾觉着是也蛮正确呃种方案，但是吾上趟走进呃一家公司，伊是搞国际物流呃	0	male
拨那每每年呃	0	female
百分之廿四	0	female
葛末阿拉想蛮高呃嘛，伊是做实体呃伊也没中介呃	0	female
就直接搿咯，借钞票借拨侬老板，伊是为了搞叫撒国企物流，伊是为了买吊车	0	male
吊车呢，要三百万，葛末就是，要凑凑集到多少数字，凑集到三千万葛末再扩大生产	0	female
葛末再讲搿老板呢，本身就是上海拧伊呢也信佛呃	0	female
比较诚信呃，拧蛮看上去也蛮本分呃，蛮老实呃，伊讲一定要，做拧要诚信呃要撒物事	0	male
伊拉屋里相呃三代同堂就是搞搿种物业呃	0	female
所以辣辣搿种情况下头呢，就老百姓，又看了伊搿呃老板搿拧，又是上海拧，又是资产	0	female
伊讲伊屋里相呃家产，要比伊公司呃家产还要多	0	female
还要好，辣搿种情况下头呢交关老百姓，甚至八十岁呃，也有的九十岁呃	0	female
还有的商商业局里相呃拧，包括还有的记者咯撒	0	female
报社里相做呃拧等等	0	female
交关拧侪进去做，侪做搿理财，当时辰光伊做了蛮好，但是呢	0	female
伊也准时拨人家钞票，伊是每个号头拨人家，付人家利息呃，百分之廿四，每个号头拨人家利息	0	female
人家有种拧呢，卖特房子，正好有种是为了出出去，出去正好有笔资金	0	female
葛末正好想投进去，想投进去了以后呢，想做几年翻倍，想买更好呃房子	0	female
葛末正好搿只机会候进了，当然，第一年还可以呃，第二年还可以呃	0	female
但是呢，伊也老小心呃，伊有辰光人家要来查咯撒，伊就另外用只资产，伐用搿只	0	female
搿只资产，另外用只其他呃资产	0	male
好拨伊人家来查	0	male
后头，弄了四年以后	0	female
有点伐大好了，但是伊当然伐会的讲伐好呃，讲了伐好了，那要人心惶惶伐，伊就还讲自家公司老好呃	0	female
伊讲，现在嘛暂时性呃资金	0	female
资金呢有点短缺伊讲吾屋里相有套有套房子，威海路呃，要值七千万	0	female
搿房子老好呃伊讲侬放心好了，那放心好了，现在呢吾伐那做长期呃，做短期呃，	0	female
三个号头	0	female
那投进来拨那百分之多少高多少高利息	0	female
还有交关拧甚至刚刚开始投，也是请朋友介绍进去，有些朋友已经辣辣里相一年到二年了	0	female
伊觉着是辣辣正常呃情况下头，侪觉着蛮好呃嘛，诶，朋友也进去一年二年了嘛，又是上海老板嘛	0	female
乃末倒是后头新朋友进去了，讲做三个号头，好唻，七十万，一百万，三百万，侪进去，结果伐到三个号头	0	female
二个多号头开始钞票就发伐出了现在搿只盘子倒特了	0	male
葛末像搿种情况嘛	0	male
蛮多呃，吾碰着就是吾碰着吾朋友欠吾	0	male
欠吾五万吾还算少呃咯	0	male
吾朋友四十八万哦	0	male
伊讲，老好呃每个号头等于等于拨伊钞票百分之十	0	male
伊搿呃四十八万每号头百分之十，多少啊	0	male
等于三个号头	0	male
辣辣三个号头当中，伊介绍了吾，还介绍了一个朋友介绍两个朋友，一个朋友投了六万，吾投五万	0	male
当时吾辣考虑呢，吾讲哪能	0	male
百分之十是老大啊，每，月月息百分之十是	0	male
老大老大诶	0	male
葛末，吾投进吾分三趟	0	male
一趟是一万	0	male
二趟是，诶，第二趟是二万	0	male
第三趟是两万，一共五万咯，吾朋友一记头六万	0	male
但搿朋友伊是投进去了，已经拿了三个号头了	0	male
伊讲吾拨侬看喏	0	male
搿是有的呀，诶	0	male
投进去以后，好唻，出事体了	0	male
吾是八月廿一号投第一批，一万	0	male
八月廿四号	0	male
诶，九月一号投进去是二万，一共五万	0	male
到九月十号搿只公司没唻	0	male
对呃，王老师侬讲了对呃，一般性哪能噶对的套套进去呢，一开始就是去看看叫，试试看	0	female
也伐一定想投呃	0	female
但是听法听法幺，蛮好呃嘛，甚至呢有种更深，诶侬朋友也投了嘛，诶，蛮好呃嘛	0	female
人家也拿到过了，也跟进去了，就觉着好像	0	female
晓晓得有可能是伐会的好，但是想伐大可能老板跑特伐，因为当初辰光跑特呃老板必定还老少呃	0	female
伐大有呃，葛末就投进去了，为撒当天有种拧想哪能，那哪能进去哪能	0	female
会的介高会的哪能	0	female
伐考虑考虑呃，实际上有种物事，因为搿种物事没进去呃拧讲没进去呃闲话，因为侬进去过了	0	female
侬也半年下来了，侬倒每个号头老准时呃，而且提前拨侬呃，侬就觉着信任度	0	female
一有的信任度了，拧就放松了，好唻，进，搿趟进去五万，下趟其他地方钞票出来再加五万	0	female
下趟再出来再加五万，就是搿能噶一点一点点加上去呃	0	female
是搿能噶情况下头加上去呃，但是坏嘛坏特了人家想，哎哟介高侬好去碰啊	0	female
但是侬因为侬没去听过课，侬是辣辣	0	female
伐同呃观点高头辣看问题，所以侬一直辣辣屋里相，侬是怕呃，因为侬没走出搿呃金融搿行业	0	female
侬伐晓得外头呃情况，侬永远是伐相信人家外头所讲呃搿种公司搿种情况好，是伐可能呃	0	female
但是，往往像阿拉搿种经常出去听呃，经常跑呃，甚至也看到了搿事实是拿到过呃	0	female
葛末就相信了，就搿能噶一点点投进去了	0	male
葛末，侬投了好伐可能出来呃呀，一年过了，诶，蛮好嘛，也蛮准时呃，侬讲吾伐做了，伐大可能呃	0	female
还，还会的加甚至十万变廿万，就像，吾就比方只例子伐，就以侬比方做做	0	female
股票，侬股票搿只股票赢了，侬讲侬赢了，哎哟吾赢到，比方子赢到一万了	0	female
吾，侬讲吾伐做了	0	female
高伊断特了，伐可能呃，侬甚至于还会的拨更多钞票进去，就是搿能噶一步步套进去呃，侬讲吾赢到了出来了，伐做了	0	female
见好就收，吾想懂，大家侪懂得见好就收呃，但是伐可能见好就收了	0	female
只有坏特了，侪能够收，好了伐伐可能收呃，王老师侬讲对伐	0	female
对呃，侬讲到呃关于股票呃事体	0	male
吾是一五年	0	male
六月十三号，六月十七号出来呃	0	male
一共五只股，搿五只股还辣死涨	0	male
还辣辣涨，侪是涨嘛，伊也涨伐了多少，也最多涨一块二块最多了	0	male
但是过了一个礼拜以后	0	male
跌到现在，就跌到现在为止	0	male
葛末吾为撒体决定搿事体做呢，为搿事体吾夜到困伐着	0	male
吾到底出伐出来但是，吾吾同事哦，伊账面高头五百万哦	0	male
伊讲伊讲，吾要涨到一千点，诶要涨到，涨到五千点，涨到一万点唻	0	male
吾想想伐对，吾是打电话打拨阿拉阿弟呃	0	male
阿拉阿弟讲，侬还是出来伐，阿拉阿弟蹲辣美国呀，纽约呀伊伊也是做生意呃，葛末还是出来	0	male
就是讲，股票是搿能噶呃	0	male
一半像人家吃，一半侬自吃侬侪吃特了，一几口套进去	0	male
葛末吾当时五只股第第一趟一点呢，十三号是扔特三只	0	male
第，十七号上扔特两只扔特以后廿号还辣辣涨	0	male
得五只股还辣涨到廿五号到廿六号，好了	0	male
开始就是讲，水面高头就是讲	0	male
可能要要有问题出来了	0	male
果然伐错到六月廿九号	0	male
全部爆跌，一路爆跌到现在	0	male
吾没进去过，一分也没，一方面，到现在为止吾股票里相一分也没	0	male
拨侬股票里钞票全部退出来退出来吾做撒呢退出来就是讲，有辰光买买散	0	male
呃，银行理财公司，理财公司产品总归有辰光银行里现在产品公司买五万买十万	0	male
吾就是买三个号头，半年	0	male
吾以后伐买长呃	0	male
伐买长，到现在还辣维持	0	male
到现在吾，就银行里呃理财产品，吾买了将近有四十万，四十廿万	0	male
四十廿万呢，吾呢，就是基本上侪是	0	male
最短三个号头	0	male
吾就搿能样子就搿能样子，总归也银行里嘛，也熟系了，就搿罢伊是专门搞理财	0	male
蹲辣银行里专门搞理财呃，是是搿能噶情况，吾伐晓得侬侬银行里买理财产品伐	0	male
吾买呃吾呢，买呃撒物事，吾总归	0	female
一般性吾钞票要到了，比方头一个礼拜之前要到快了，吾就跑所有呃银行，比方说上海银行，工商银行	0	female
或者是呃，民生银行	0	female
等等，还有叫撒	0	female
温州银行，侪去跑跑兜兜看看，啊里只银行高利息，吾就摆啊里只，搿呃基本上呢是叫撒	0	female
就像像搿种呢，温州银行，或者是北海银行，搿种，就是外地银行咯撒	0	female
比较小呃银行，会的比人家高点，为撒，因为伊	0	female
要竞争	0	male
伊小银行必须要比人家高点，如果伐高，人家肯定跑工商银行，或者跑建设银行唻，人家总相信大银行咯	0	female
但是因为伊比人家高了一点利息呢，总归有的拧想，高点利息也好呃	0	female
侬钞票是一万二万是伐觉着呃，比方真呃五十万，六十万，一百万呃所话，侬就相当于几个号头要坍般几百块洋钿唻	0	female
葛末侬几百块洋钿，相当于侬买点水果吃吃，也要好交关了，葛末吾现在呢，基本上	0	female
总归跑搿种小银行，先去兜兜看看看叫要到了	0	male
到了差伐多了，葛末吾就晓得，心里有底了吾比方说钞票还有两天出来了，吾准备搬到搿只银行去	0	female
葛末有辰光还问问人家侬搿搭P O S机有伐，伊讲有呃	0	male
就是讲，伐收手续费呃，葛末吾到辰光拿张卡，身份证pos机就转过去了	0	female
吾一般性辣银行里相做呢，做三个号头，或者是一百廿一天，一百廿六天或者做一百八十八天呃	0	female
三呃，基本哴做半年到三个号头到四个号头呃还有的九十五天呃	0	female
讲搿能噶样子呢，吾做只半年头呃，然后吾半年出出来了后，吾做三个号头呃	0	female
葛末后头再排队，搿能噶以此类推呢，吾基本上相当于每个号头有的利息拿，有的钞票拿	0	female
而且吾需要用钞票辰光，吾就伐慌了	0	female
吾比方说，吾七月份出来一批，吾再做，一百廿几天呃，葛末就相当于到，十一月份	0	female
十一月份，葛末吾八，吾前头做呃八月份又出来了，葛末再排队，到后头十二月份九月份出来再排队到一月份	0	female
搿咯吾基本上，侪有的利息拿拿，利息拿拿再加上自家再做，节约点介，葛末再拿工资加上去，再	0	female
钱出钱，葛末阿拉再进去做呃	0	female
所以呢，吾基本上是搿能噶样子做呃	0	female
侬讲叫撒，王老师侬讲搿能噶做可以伐	0	male
搿能做也蛮好呃	0	male
没吾是搿能样子做呃，就是银行里呢吾	0	male
基本上就是讲，侬像侬讲呃温州银行	0	male
还有渤海银行，伊拉整只理财比较高呃	0	male
乃末就整个一个上上海算下来呢	0	male
就是要末特温州银行渤海银行	0	male
还只上海银行吾伐晓得侬对上海银行有撒撒呃有撒了解伐	0	male
因为上海银行伊呃资金呢	0	male
跟渤海银行跟搿呃宁波银行啦，好叫是搿呃是其他外地呃，小银行呢	0	male
伊呃资金重厚因为上海呃退休工人百分之八十	0	male
到九十再辣辣上海银行发呃	0	male
乃末一般性呃上海银行呃资金哪能来呢是每个号头	0	male
市政府呃社保打拨伊，一般吾上趟了解下来呢	0	male
是搿能噶呃，就是讲，上海银行整个呃退退休，退休工人发放呃	0	male
退休钞票是基本上辣辣四百五十万到五百万搿呃，五百亿，四百五十亿到五百亿呃钞票	0	male
乃末侬晓得，老百姓拿钞票退休工人伐是一记头拿特呃咯	0	male
伊总归要留眼伐	0	male
葛末留眼当中呢，基本上吾听上趟银行里讲呃	0	male
基本上每，银行，上海银行有一百亿呃钞票辣银行里存辣海子	0	male
就人家伐拿呃，好拿呃拿了一部分呃像搿部分钞票呢作为	0	male
上海银行作为老大呃，所以交关理财公司就靠了上海银行	0	male
伊讲阿拉呃资金进入上海银行上海银行再出来但上海银行呢也发生过一桩事体	0	male
发生一桩事体以后呢，也是银行里高头呃事体发生过以后呢，搿事体就就处理特了	0	male
葛末吾基本上呃，基本上呃搿呃，呃	0	male
资金喃基本上侪辣辣上海银行里周转上海银行还有个特点，就是一精灵	0	male
一精灵哪能呢，就是钞票存进去，伊拨侬利息呃	0	male
有三点一，三点二，三点三四点一也有呃	0	male
葛末伊就是讲，侬存进去每天侪有利息呃，拿伊利息，侬可以随时随地捞出来，也可以随时随地进去	0	male
葛末其他银行呢，吾吾问下来呃，工商银行呃利率低呃，伊可以今朝	0	male
进去，或者下半日就拿出来，也有呃，或者明朝拿出来，也有呃，伊搿只产品只有只利率低	0	male
伊只利率低于二点一道二点五之间	0	male
搿呃工商银行	0	male
中国银行呢，更加少了	0	male
对呃，王老师侬	0	female
北京爱数智慧语音采集	0	female
北京爱数智慧语音采集	0	male
阿拉再来旅，聊聊旅游休闲呃事体	0	male
侬是一般性侬出出去是去过啊里些地方啊	0	female
阿拉就讲讲上趟云南呃事体	0	male
云南高原反应，吾倒还可以	0	female
吾就是讲辣辣爬山呃辰光	0	male
车子伐是要绕来绕去上去对伐，吾就是晕车呃	0	male
吾就吐得来一体是噶，吐了一马夹袋辣埃面，哦半马夹袋伐好讲一马	0	female
只管埃只马夹袋蛮蛮蛮结棍呃，就讲拿前头吃下去早哴头伐是吃好子出去嘛	0	female
全部侪吐光，但是吾就一点，吐光对伐稍微休息歇就恢复了	0	female
后头阿拉就等于住住辣搿饿三千七百米呃高高呃高头，吾当时认为是	0	female
人家讲好像是气压老底啥，搿辰光可能还年纪轻	0	female
吾倒也没觉得	0	female
但是觉得蛮开心呃好像	0	female
搿年纪轻呃辰光身体好呀	0	female
随便跑啥地方去，侪伐觉得	0	female
年纪大了就伐来塞了，侬讲有种地方像现在像跑了搿把高原反应呃地方吾现在伐管跑了	0	female
现在对伐，体力得伐够了，老早吾老高呃山吾也爬的上去哦	0	female
吾现在对伐啦，爬伐上去了已经	0	female
但是吾觉着伊拉云南哦	0	male
伊拉云南拧蛮好呃	0	male
伊拉也蛮残，侪做节目咯撒	0	female
搿喏还有的撒讨新娘	0	female
讨新娘子，诶，侪侪伐晓得真呃假呃还是做戏还是撒呃，伊拉做拨阿拉看	0	female
哪能噶喏就讲伊拉	0	female
上海拧讲讨新妇，伊拉也是讨，讨娘子，讨媳妇	0	female
诶做戏咯啥，蛮好呃侪	0	female
诶，蛮还蛮热情呃，云南拧也蛮热情呃	0	male
诶去呃地方见识见识哦	0	female
阿拉重来没看到过	0	male
诶，看到伊拉搿饿诶	0	male
伊拉呃风土人情啊	0	female
觉得也蛮好	0	female
蛮好孛相呃就讲	0	female
啊阿拉是上趟子有一年是啊里一年啊	0	female
